,Aboutyou_offerid,Zalando_offerid,Aboutyou_description,Zalando_description,Aboutyou_brand,Zalando_brand,Aboutyou_color,Zalando_color,Aboutyou_title,Zalando_title,match
0,ad5ceb87-0254-4171-b650-1d4d09f48efc,b33f55d6-0149-4063-8b63-3eeae63562a2,gru00f6u00dfe unisex  onesize onesize onesize einheitsgru00f6u00dfe 1 zielgruppe female kettenstil feine kette marke swarovski anhu00e4nger mit anhu00e4nger schmuckart modeschmuck ausrichtung marke premium suchfarbe silber gru00f6u00dfenlauf unisex  onesize onesize onesize einheitsgru00f6u00dfe 1 detailfarbe silber weiu00df business freizeit geschlecht frauen produktart kette quick filter style group premium schmuckvertrieb modeschmuck neu newaode display colors silber brand logo swarovski premium true name kette description collier metall mit swarovskikristallen lu00e4nge ca 38 cm breite ca 15 cm anhu00e4ngerlu00e4nge ca 15 cm anhu00e4ngerbreite ca 2 cm produkt beschreibung collier metall mit swarovskikristallen lu00e4nge ca 38 cm breite ca 15 cm anhu00e4ngerlu00e4nge ca 15 cm anhu00e4ngerbreite ca 2 cm bulletpoints material metall farbe silber mau00dfangaben anhu00e4ngerlu00e4nge ca 18 cm anhu00e4ngerbreite ca 14 cm wir liefern ihr schmuckstu00fcck in einer eleganten produktverpackung  ideal fu00fcr geschenke profitieren sie vom christ uhren  schmuckservice sowie der fachexpertise aus mehr als 200 filialen in deutschland materialzusammensetzung material metall glas,main supplier code k85009  name suffix silver  stone type swarovski®-kristall  color code.primary silberfarben  finish rhodiniert  poliert  season code ganzjähriger basisartikel  visibility high ja  season code.first herbst-winter 2020  fastening karabiner  name creativity:pendant cir cry/ros  tag halskette  silhouette jewellery  assortment type katalog  brand code 4sw  name prefix creativity   product group accessoires  commodity group 5-1-l,swarovski,swarovski,silber weiß silber,silberfarben,kette,creativity  halskette,1
1,b68dd42a-9bda-46e2-aa4e-3d7c50881bb2,f04bef4a-f771-4749-914c-1b22718523b8,gru00f6u00dfe unisex  intern accessoires zielgruppe female marke swarovski schmuckart modeschmuck ausrichtung marke premium suchfarbe gold gru00f6u00dfenlauf unisex  intern accessoires detailfarbe rosegold business freizeit geschlecht frauen produktart armband quick filter style group premium schmuckvertrieb modeschmuck display colors rosegold brand logo swarovski premium true name armreif description armreif metall mit swarovski kristalle durchmesser ca 5 cm produkt beschreibung armreif metall mit swarovski kristalle durchmesser ca 5 cm bulletpoints material metall farbe rosu00e8 mau00dfangaben durchmesser ca 5 cm wir liefern ihr schmuckstu00fcck in einer eleganten produktverpackung  ideal fu00fcr geschenke profitieren sie vom christ uhren  schmuckservice sowie der fachexpertise aus mehr als 200 filialen in deutschland materialzusammensetzung material metall glas,main supplier code k85009  name suffix rosegold-coloured  stone type swarovski®-kristall  color code.primary roségoldfarben  jewelry closure karabiner  finish rosévergoldet  poliert  season code herbst-winter 2021  season code.first frühjahr - sommer 2018  material jewelry metall  name lifelong:bangle cry/ros  tag armband  silhouette jewellery  assortment type katalog  brand code 4sw  name prefix lifelong bangle   product group accessoires  commodity group 5-1-l-03,swarovski,swarovski,gold rosegold,roségoldfarben,armreif,lifelong bangle  armband,1
2,7d19213c-b3ea-406a-ac8e-8299823c7bb4,396c292a-cda8-4477-ac67-86701fc8ab95,gru00f6u00dfe unisex  schmuck intern marke swarovski schmuckart modeschmuck oberflu00e4che rhodiniert ausrichtung marke premium suchfarbe silber gru00f6u00dfenlauf unisex  schmuck intern detailfarbe rosegold silber ordersaison fs 20 business freizeit geschlecht frauen produktart armband quick filter style group premium saison fru00fchjahr  sommer schmuckvertrieb modeschmuck display colors silber brand logo swarovski premium true name armreif eternal flower description im zentrum dieses einzigartigen swarovski armreifs steht eine hinreiu00dfende libelle der hingucker in rotgold glu00e4nzendem finish besticht mit detailreichen kristallbesetzten flu00fcgeln das filigrane insekt sitzt auf einer rotgold glu00e4nzenden kette welch eine wunderschu00f6ne geschenkidee fu00fcr praktisch jeden anlass materialmetallmaterialoberflu00e4cherhodiniert teilweise vergoldetmaterialfarbemetallfarben rosu00e9goldfarbenfarbe farbsteinrosamaterialverarbeitungmassiv,main supplier code k85009  name suffix fancy morganite  stone type swarovski®-kristall  color code.primary silberfarben  finish poliert  season code herbst-winter 2021  season code.first frühjahr - sommer 2020  fastening karabiner  name eternal flower:bangle fly czmo/ros m  tag armband  silhouette jewellery  brand code 4sw  name prefix eternal flower bangle fly  product group accessoires  commodity group 5-1-l-03,swarovski,swarovski,silber rosegold silber,silberfarben,armreif eternal flower,eternal flower bangle fly armband,1
3,22344dcd-2eca-4576-a89d-916cc47f6cb4,e72b5d05-fd06-46e9-a183-5e2e26ed18bb,gru00f6u00dfe unisex  onesize onesize onesize einheitsgru00f6u00dfe 1 zielgruppe female marke swarovski schmuckart modeschmuck oberflu00e4che rhodiniert ausrichtung marke premium suchfarbe silber gru00f6u00dfenlauf unisex  onesize onesize onesize einheitsgru00f6u00dfe 1 detailfarbe silber business freizeit geschlecht frauen produktart armband quick filter style group premium schmuckvertrieb modeschmuck neu newaode display colors silber brand logo swarovski premium true name armband description armband metall mit swarovski kristallenlu00e4nge ca 17 cm produkt beschreibung armband metall mit swarovski kristallenlu00e4nge ca 17 cm bulletpoints armband der marke swarovski aus metall ist ein schmuckstu00fcck der ganz besonderen art lu00e4nge ca 17 cm material metall oberflu00e4chenveredelung rhodiniert verschluss klappverschluss swarovski kristalle wir liefern ihnen den artikel in eleganter produktverpackung und vervollstu00e4ndigen so den perfekten gesamteindruck materialzusammensetzung material metall glas,main supplier code k85009  name suffix crystal  stone type swarovski®-kristall  color code.primary silberfarben  finish rhodiniert  poliert  season code ganzjähriger basisartikel  season code.first frühjahr - sommer 2020  fastening gelenkverschluss  name angelic:bracelet cry/rhs m  tag armband  silhouette jewellery  assortment type katalog  brand code 4sw  name prefix angelic bracelet  product group accessoires  commodity group 5-1-l-03,swarovski,swarovski,silber silber,silberfarben,armband,angelic bracelet armband,1
4,c2f1a132-c013-4e78-8582-6d3001e05cbf,87b7841b-f44e-4652-ace4-2ac975510226,schmuckart modeschmuck suchfarbe gold gru00f6u00dfenlauf unisex  intern accessoires detailfarbe weiu00df rosegold gru00f6u00dfe unisex  intern accessoires marke swarovski zielgruppe frauen ausrichtung marke premium quick filter style group premium oberflu00e4che vergoldet schmuckvertrieb modeschmuck geschlecht frauen produktart armband neu newwnde display colors rosegold brand logo swarovski premium true name armband description detailsbesondere merkmalemit swarovski® kristallverpackunginkl etuiallgemeinanzahl schmuckteile1 produkt beschreibung detailsbesondere merkmalemit swarovski® kristallverpackunginkl etuiallgemein,main supplier code k85009  name suffix rosegold-coloured  stone type swarovski®-kristall  color code.primary weiß  finish rosévergoldet  poliert  restricted release timed release  season code herbst-winter 2021  season code.first frühjahr-sommer 2021  fastening federringverschluss  name constella:bangle white/ros m  tag armband  silhouette jewellery  assortment type katalog  brand code 4sw  name prefix constella bangle  product group accessoires  commodity group 5-1-l-03-02,swarovski,swarovski,gold weiß rosegold,weiß,armband,constella bangle armband,1
5,4aae1500-274a-4ab0-b820-9ee88709f583,86eab5f3-6254-4339-8abd-322a736c8824,zielgruppe male material glattleder schuhspitze runde kappe marke bullboxer verschlussart schnu00fcrverschluss suchfarbe braun gru00f6u00dfenlauf schuhe  unisex eu detailfarbe cognac ordersaison hw 21 muster unifarben enthu00e4lt nichttextile teile tierischen ursprungs true design fersenlasche verstu00e4rkte ferse 6lochschnu00fcrung profilsohle extras metallu00f6sen flexible laufsohle robuster stoff nieten verkaufskanal marypaul ay global include ursprungsland portugal saison herbst  winter geschlecht mu00e4nner produktart schnu00fcrboots size chart male shoes gru00f6u00dfe defmaleeur marktplu00e4tze otdm tboneexport bobe bonl mydk amde approval for global true neu newaocz stylecluster 7 display colors cognac brand logo bullboxer name schnu00fcrboots description  produkt beschreibung  materialzusammensetzung obermaterial leder  futter und decksohle synthetik textil  laufsohle kunststoff,main supplier code k71979  decksohle lederimitat  skirt details nietendekor  name suffix cognac  pattern unifarben  color code.primary cognac  futter lederimitat/textil  season code herbst-winter 2020  padding type kalt gefüttert  shoe toecap rund  sole material kunststoff  season code.first herbst-winter 2020  upper material leder  shoe fastener schnürung  fastening schnürung  name 358 k5 3031b  tag schnürstiefelette  silhouette ankle boots  brand code bu2  product group shoe  commodity group 1-2-k-02,bullboxer,bullboxer,braun cognac,cognac,schnürboots,schnürstiefelette,1
6,b8a5f1eb-f85d-4509-bd28-52904f83803f,76ec7de0-f1f8-4ccf-ae87-f62b295dbfdf,material glattleder sneakerstil casual verschlussart schnu00fcrverschluss suchfarbe braun gru00f6u00dfenlauf schuhe  unisex eu detailfarbe karamell weiu00df dunkelblau ordersaison fs 21 muster unifarben enthu00e4lt nichttextile teile tierischen ursprungs true design kontrastfarbene einsu00e4tze kontrastfutter materialmix verstu00e4rkte ferse 6lochschnu00fcrung seitlicher reiu00dfverschluss extras label patchlabel flag metallu00f6sen labelpru00e4gung gepolsterter schaftrand flexible laufsohle fashion faktor mainstream stilrichtung urban verkaufskanal marypaul ay global include saison fru00fchjahr  sommer gru00f6u00dfe defmaleeur neu newaych marke bullboxer schuhspitze runde kappe zielgruppe mu00e4nner geschlecht mu00e4nner size chart male shoes produktart sneaker low zertifikate nachhaltigkeit leather working group nachhaltigkeit ecofriendly material approval for global true stylecluster 8 display colors karamell brand logo bullboxer sustainable true name sneaker description  produkt beschreibung  materialzusammensetzung obermaterial leder  futter und decksohle synthetik  laufsohle gummi,main supplier code k71979  decksohle leder  name suffix cognac  heel form flach  color code.primary cognac  washing instructions bitte vor dem ersten tragen imprägnieren  futter leder  season code frühjahr-sommer 2021  padding type kalt gefüttert  shoe toecap rund  sole material kunststoff  season code.first frühjahr-sommer 2021  upper material leder  shoe fastener schnürung  fastening reißverschluss  occasion freizeit  name 628 k2 6343f  tag sneaker low  silhouette low shoe  brand code bu2  product group shoe  commodity group 1-2-o-07,bullboxer,bullboxer,braun karamell weiß dunkelblau,cognac,sneaker,sneaker low,1
7,68777769-75b9-4214-83a6-22b609d160d2,a91c95ab-8887-4f39-ade8-ed9d4217f670,detailfarbe braun schwarz suchfarbe schwarz extras label plate applikationen ordersaison hw 19 marke burberry zielgruppe female verkaufskanal marypaul gru00f6u00dfenlauf accessoires  unisex brillen mm gru00f6u00dfe accessoires  unisex brillen mm ausrichtung marke premium geschlecht frauen produktart sonnenbrille saison herbst  winter neu newaode display colors schwarz brand logo burberry premium true name sonnenbrille 0be4299 description  produkt beschreibung  bulletpoints  materialzusammensetzung obermaterial synthetik,lens tint dunkel (filterkategorie 3)  main supplier code k11631  name suffix black   pattern kariert  color code.primary schwarz  glasses case hartschale  glasses form cat eye  ce ja  season code herbst-winter 2021  season code.first herbst-winter 2019  uv filter ja  name 0be4299  tag sonnenbrille  silhouette glasses  brand code bu7  product group accessoires  commodity group 5-1-k-02-4,burberry,burberry,schwarz braun schwarz,schwarz,sonnenbrille 0be4299,sonnenbrille,1
8,a5e0929e-f273-40de-80ef-3b31f155c638,a549a54e-6742-4392-9d07-3696f885e3b4,zielgruppe female marke burberry ausrichtung marke premium suchfarbe braun gru00f6u00dfenlauf accessoires  unisex brillen mm detailfarbe braun ordersaison fs 21 extras label plate uvschutz supplier luxottica verkaufskanal marypaul premium true ursprungsland italien saison fru00fchjahr  sommer gru00f6u00dfe accessoires  unisex brillen mm geschlecht frauen produktart sonnenbrille neu newaode display colors braun brand logo burberry name sonnenbrille 0be4327 description  produkt beschreibung  materialzusammensetzung gestell kunststoff,lens tint mittel (filterkategorie 2)  main supplier code k11631  name suffix light havana  pattern animal print  color code.primary braun  glasses case säckchen  mit kordelzug  hartschale  glasses form rechteckig  material jewelry two kunststoff  ce ja  season code herbst-winter 2021  season code.first frühjahr-sommer 2021  uv filter ja  name 0be4327  tag sonnenbrille  silhouette glasses  assortment type katalog  brand code bu7  product group accessoires  commodity group 5-1-k-02-6,burberry,burberry,braun braun,braun,sonnenbrille 0be4327,sonnenbrille,1
9,e420022c-5413-4498-a6a2-1ade58b77bc9,91893197-facc-45e5-87d6-afd472937eec,zielgruppe female marke burberry material metall ausrichtung marke premium suchfarbe gold gru00f6u00dfenlauf accessoires  unisex brillen mm detailfarbe gold dunkelgrau ordersaison fs 21 extras uvschutz mit nasenpads supplier luxottica verkaufskanal marypaul premium true saison fru00fchjahr  sommer geschlecht frauen produktart sonnenbrille gru00f6u00dfe accessoires  unisex brillen mm neu newaode display colors gold brand logo burberry name sonnenbrille dean description  produkt beschreibung  materialzusammensetzung gestell metall,lens tint mittel (filterkategorie 2)  main supplier code k11631  name suffix gold-coloured  pattern farbverlauf  color code.primary goldfarben  glasses form pilot (tropfenförmig)  ce ja  season code herbst-winter 2021  season code.first herbst-winter 2020  uv filter ja  name 0be3121  tag sonnenbrille  silhouette glasses  assortment type katalog  brand code bu7  name prefix unisex  product group accessoires  commodity group 5-4-k-10-01,burberry,burberry,gold dunkelgrau gold,goldfarben,sonnenbrille dean,unisex sonnenbrille,1
